key_painter| matching_painter| image_url| museum
Lucas Cranach the Elder|Lucas Cranach the Elder|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000162/41771_1747416.jpg|artic
Lucas Cranach the Elder|Lucas Cranach the Elder|http://www.dia.org/user_area/comping/61.397-D1.jpg|detroit
Sir Henry Raeburn|Sir Henry Raeburn|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/4556_1633772.jpg|artic
Francesco Solimena|Francesco Solimena|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/5030_1640991.jpg|artic
Jan van Scorel|Jan van Scorel|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/1966_1597370.jpg|artic
Jan van Scorel|Jan van Scorel|http://www.dia.org/user_area/comping/73.5.jpg|detroit
Hendrick van Steenwijck, the Younger|Hendrick van Steenwijck, the Younger|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/3684_1620275.jpg|artic
Jacopo da Pontormo (Jacopo Carrucci)|Jacopo da Pontormo (Jacopo Carrucci)|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/1714_1593008.jpg|artic
Pierre-Henri de Valenciennes|Pierre-Henri de Valenciennes|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/5048_1641402.jpg|artic
Pierre-Henri de Valenciennes|Pierre Henri de Valenciennes|http://www.dia.org/user_area/comping/75.65.jpg|detroit
Pierre-Henri de Valenciennes|Pierre-Henri de Valenciennes|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770868-WEB.jpg|lacma
Pierre-Henri de Valenciennes|Pierre-Henri de Valenciennes|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770868-WEB.jpg|lacma
Léon Jean Basile Perrault|Léon Jean Basile Perrault|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000157/8605_1687524.jpg|artic
Imitator of Titian (Tiziano Vecelli)|Imitator of Titian (Tiziano Vecelli)|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000166/45072_1795479.jpg|artic
Gustave Doré|Gustave Doré|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/4027_1625091.jpg|artic
Gustave Doré|Gustave Dore|http://www.dia.org/user_area/comping/2000.139.jpg|detroit
French (Picardy)|French (Picardy)|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000159/39482_1721478.jpg|artic
French (Picardy)|French (Picardy)|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000160/39632_1722872.jpg|artic
French (Picardy)|French (Picardy)|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/1761_1593827.jpg|artic
Marc Chagall|Marc Chagall|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000125/165509_1263551.jpg|artic
Marc Chagall|Marc Chagall|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000255/188540_3035539.jpg|artic
Jean-Auguste-Dominique Ingres|Jean-Auguste-Dominique Ingres|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/4265_1629274.jpg|artic
Gustave Courbet|Gustave Courbet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000148/274_1576867.jpg|artic
Gustave Courbet|Gustave Moreau|http://www.dia.org/user_area/comping/2002.114-D1.jpg|detroit
Gustave Courbet|Gustave Courbet|http://www.dia.org/user_area/comping/27.202-S1.jpg|detroit
Pieter Codde|Pieter Codde|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/1773_1594019.jpg|artic
Odilon Redon|Odilon Redon|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000057/1810_522244.jpg|artic
Odilon Redon|Odilon Redon|http://www.dia.org/user_area/comping/25.201-S1.jpg|detroit
Sir Thomas Lawrence |Sir Thomas Lawrence |http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000151/2915_1610330.jpg|artic
Giovanni Battista Piazzetta, attributed to|Giovanni Battista Piazzetta, attributed to|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/1954_1597214.jpg|artic
Giovanni Battista Piazzetta, attributed to|Giovanni Battista Piazzetta, attributed to|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/1954_1597214.jpg|artic
Giovanni Battista Piazzetta, attributed to|Giovanni Battista Piazzetta|http://www.dia.org/user_area/comping/38.56-D1.jpg|detroit
Giovanni Battista Piazzetta, attributed to|Giovanni Battista Piazzetta|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31766672-WEB.jpg|lacma
Giovanni Battista Piazzetta, attributed to|Giovanni Battista Piazzetta|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31766672-WEB.jpg|lacma
Stefano Pozzi|Stefano Pozzi|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/4673_1634961.jpg|artic
Georges Braque|Georges Braque|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000169/51079_1834778.jpg|artic
Johann Michael Rottmayr|Johann Michael Rottmayr|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000253/183871_2998563.jpg|artic
Hans Thoma|Hans Thoma|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000209/125062_2335438.jpg|artic
Hans Thoma|Hans Thoma|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31239890-WEB.jpg|lacma
Hans Thoma|Hans Thoma|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31239890-WEB.jpg|lacma
Henri Matisse|Henri Matisse|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000261/197286_3120214.jpg|artic
Henri Matisse|Henri Matisse|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000240/159203_2792803.jpg|artic
Henri Matisse|Henri Matisse|http://www.dia.org/user_area/comping/22.14-S1.jpg|detroit
Henri Matisse|Henri Matisse|http://www.dia.org/user_area/comping/70.174-D1.jpg|detroit
Henri Matisse|Henri Matisse|http://www.dia.org/user_area/comping/70.175-S1.jpg|detroit
Henri Matisse|Henri Matisse|http://www.dia.org/user_area/comping/70.206.jpg|detroit
Henri Matisse|Henri Matisse|http://www.dia.org/user_area/comping/78.31.jpg|detroit
Henri Matisse|Henri Matisse|http://www.dia.org/user_area/comping/78.37.jpg|detroit
Claude Monet|Claude Monet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000254/186112_3017459.jpg|artic
Claude Monet|Claude Monet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000253/185204_3008003.jpg|artic
Claude Monet|Claude Monet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000258/178895_3091098.jpg|artic
Claude Monet|Claude Monet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000252/183236_2991091.jpg|artic
Claude Monet|Claude Monet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000255/188966_3039731.jpg|artic
Claude Monet|Claude Monet|http://www.dia.org/user_area/comping/21.71-S1.jpg|detroit
Claude Monet|Claude Monet|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31771408-WEB.jpg|lacma
Claude Monet|Claude Monet|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31769857-WEB.jpg|lacma
Claude Monet|Claude Monet|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31774300-WEB.jpg|lacma
Claude Monet|Claude Monet|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773304-WEB.jpg|lacma
Claude Monet|Claude Monet|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31771408-WEB.jpg|lacma
Claude Monet|Claude Monet|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31769857-WEB.jpg|lacma
Claude Monet|Claude Monet|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31774300-WEB.jpg|lacma
Claude Monet|Claude Monet|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773304-WEB.jpg|lacma
Eugène-Louis Boudin|Eugène-Louis Boudin|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/2082_1599073.jpg|artic
Eugène Delacroix|Eugène Delacroix|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/22188_1780067.jpg|artic
Eugène Delacroix|Eugène Delacroix|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31765599-WEB.jpg|lacma
Eugène Delacroix|Eugène Delacroix|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31768044-WEB.jpg|lacma
Eugène Delacroix|Eugène Delacroix|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31765599-WEB.jpg|lacma
Eugène Delacroix|Eugène Delacroix|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31768044-WEB.jpg|lacma
Eugene Fromentin|Eugene Fromentin|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/5059_1641625.jpg|artic
French|French|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/4026_1625069.jpg|artic
French|French|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000155/6300_1661975.jpg|artic
François Boucher|François Boucher|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000204/119536_2274431.jpg|artic
François Boucher|Francois Boucher|http://www.dia.org/user_area/comping/29.445-S1.jpg|detroit
François Boucher|Francois Boucher|http://www.dia.org/user_area/comping/71.180-S1.jpg|detroit
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770637-WEB.jpg|lacma
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31833755-WEB.jpg|lacma
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31766805-WEB.jpg|lacma
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31766859-WEB.jpg|lacma
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31766833-WEB.jpg|lacma
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770637-WEB.jpg|lacma
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31833755-WEB.jpg|lacma
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31766805-WEB.jpg|lacma
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31766859-WEB.jpg|lacma
François Boucher|François Boucher|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31766833-WEB.jpg|lacma
Jean-Baptiste-Camille Corot|Jean-Baptiste-Camille Corot|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000149/749_1583256.jpg|artic
Jean-Baptiste-Camille Corot|Jean-Baptiste-Camille Corot|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/23429_1783404.jpg|artic
Jean-Baptiste-Camille Corot|Jean Baptiste Camille Corot|http://www.dia.org/user_area/comping/64.116.jpg|detroit
Jean-Baptiste-Camille Corot|Jean Baptiste Camille Corot|http://www.dia.org/user_area/comping/70.165.jpg|detroit
Jean-Baptiste-Camille Corot|Jean-Baptiste-Camille Corot|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31765577-WEB.jpg|lacma
Jean-Baptiste-Camille Corot|Jean-Baptiste-Camille Corot|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31768058-WEB.jpg|lacma
Jean-Baptiste-Camille Corot|Jean-Baptiste-Camille Corot|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31765577-WEB.jpg|lacma
Jean-Baptiste-Camille Corot|Jean-Baptiste-Camille Corot|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31768058-WEB.jpg|lacma
Paul Gauguin|Paul Gauguin|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000252/182981_2989331.jpg|artic
Paul Gauguin|Paul Gauguin|http://www.dia.org/user_area/comping/69.306.jpg|detroit
Paul Gauguin|Paul Gauguin|http://www.dia.org/user_area/comping/1999.59-S1.jpg|detroit
Paul Gauguin|Paul Gauguin|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31777178-WEB.jpg|lacma
Paul Gauguin|Paul Gauguin|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-33994798-WEB.jpg|lacma
Paul Gauguin|Paul Gauguin|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773235-WEB.jpg|lacma
Paul Gauguin|Paul Gauguin|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-1869249-WEB.jpg|lacma
Paul Gauguin|Paul Gauguin|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31777178-WEB.jpg|lacma
Paul Gauguin|Paul Gauguin|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-33994798-WEB.jpg|lacma
